title,price,rating,reviews,availability
"HP Business Laptop, 15.6"" FHD IPS Touchscreen Display, 11th Gen Intel i7-1165G7(Up to 4.7GHz), 16GB RAM 512GB PCIe SSD, Intel Iris Xe Graphics, Webcam, WiFi, Bluetooth, Windows 11, Natural Silver",$799.00,4.3 out of 5 stars,2 ratings,Not Available
"Lenovo Ideapad 3 14"" FHD Slim Laptop, Intel Core i7-1165G7(up to 4.7 GHz), 12GB RAM, 512GB NVMe SSD, Intel Iris Xe Graphics, Fingerprint Reader, Wi-Fi 6, Bluetooth 5, Windows 11, Arctic Grey",$699.00,Previous page of related Sponsored Products,,Not Available
"HP Pavilion 15 Laptop, 11th Gen Intel Core i7-1165G7 Processor, 16 GB RAM, 512 GB SSD Storage, Full HD IPS micro-edge Display, Windows 11 Pro, Compact Design, Long Battery Life (15-eg0025nr, 2021)",$784.00,4.4 out of 5 stars,680 ratings,Not Available
ASUS Vivobook 15.6 Full HD Intel Gen 10 Core i7-1065G7 8GB RAM 1TB HDD + 256GB SSD Win 10 Laptop,$638.00,4.6 out of 5 stars,97 ratings,Not Available
"2021 Newest Dell Inspiron 15 3000 3501 Laptop, 15.6"" Full HD 1080P Screen, 11th Gen Intel Core i5-1135G7 Quad-Core Processor, 16GB RAM, 256GB SSD + 1TB HDD, Webcam, HDMI, Wi-Fi, Windows 10 Home, Black",$560.28,4.2 out of 5 stars,204 ratings,Not Available
"Microsoft Surface Pro 7 – 12.3"" Touch-Screen - Intel Core i7 - 16GB Memory - 256GB SSD – Matte Black",$869.99,4.5 out of 5 stars,"1,192 ratings",Not Available
"Acer Nitro 5 AN517-54-77KG Gaming Laptop | Intel Core i7-11800H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 17.3"" FHD 144Hz IPS Display | 16GB DDR4 | 1TB NVMe SSD | Killer WiFi 6 | Backlit Keyboard","$1,199.00",4.5 out of 5 stars,565 ratings,Only 1 left in stock - order soon
"Acer Aspire 5 A515-56-73AP, 15.6"" Full HD IPS Display, 11th Gen Intel Core i7-1165G7, Intel Iris Xe Graphics, 16GB DDR4, 512GB NVMe SSD, WiFi 6, Fingerprint Reader, Backlit Keyboard",$999.99,4.3 out of 5 stars,188 ratings,Not Available
"HP Pavilion 15.6"" FHD Laptop (2022 Latest Model), AMD Ryzen 5 5500U (Beats i7-11370H), 16GB RAM, 512GB PCIe NVMe M.2 SSD, Thin & Portable, Micro-Edge & Anti-Glare Screen, Long Battery Life, Windows 11",$649.00,4.1 out of 5 stars,294 ratings,Not Available
"Acer Aspire Vero AV15-51-7617 Green PC | 15.6"" FHD IPS 100% sRGB-Display | 11th Gen Intel Core i7-1195G7 | Intel Iris Xe Graphics | 16GB DDR4 | 512GB NVMe SSD | Wi-Fi 6 | PCR Materials | Vero-Sleeve",$693.50,4.6 out of 5 stars,170 ratings,In Stock.
"HP Laptops for College Student & Business, 17 inch Laptop FHD Screen Computer, 2022 Newest Updated, 11th Gen Intel Core i5-1135G7, 32GB RAM, 1TB SSD, Fast Charge, HDMI, Webcam, Windows 11, ROKC MP",$799.99,4.7 out of 5 stars,10 ratings,Not Available
"Lenovo Flex 5i - 14.0"" FHD Touch Display - Intel Core i7-1165G7 - 12GB DDR4 RAM - 512GB M.2 NVMe SSD - Intel Iris Xe Graphics - Windows 11 Home - Graphite Grey",$798.00,4.8 out of 5 stars,10 ratings,Not Available
"Lenovo IdeaPad Gaming 3 - 2022 - Everyday Gaming Laptop - NVIDIA GeForce RTX 3050 Graphics - 15.6"" FHD Display - 120 Hz - AMD Ryzen 5 6600H - 8GB DDR5 - 258GB SSD - Win 11 - Free 3-month Xbox GamePass",$691.00,4.6 out of 5 stars,851 ratings,In Stock
"Acer Aspire 5 A517-52-75N6 Laptop | 17.3"" Full HD IPS Display | 11th Gen Intel Core i7-1165G7 | Intel Iris Xe Graphics | 16GB DDR4 | 512GB SSD | WiFi 6 | Fingerprint Reader | BL Keyboard | Windows 11",$749.99,4.3 out of 5 stars,"3,239 ratings",In Stock.
"HP 14 FHD Laptop for Student & Business, 6-Core AMD Ryzen 5 5500U (Beats Intel i7-1065G7), Thin & Portable, Micro-Edge & Anti-Glare Screen, Long Battery Life, Windows 11 Home (24GB|512GB SSD)",$549.99,5.0 out of 5 stars,5 ratings,Not Available
"Lenovo Slim 7i - 2022 - Slim & Light Weight Laptop - Windows 11 Home - 16"" Display - 32GB Memory - 1TB Storage - Intel i7 12th Gen - Storm Grey","$1,572.82",3.2 out of 5 stars,5 ratings,In Stock.
"Newest Lenovo 15 IdeaPad 3 15.6"" FHD Touchscreen Laptop, 11th Gen Intel i5-1135G7(Beat i7-1065G7), 20GB DDR4 RAM, 1TB SSD, Webcam, Backlit Keyboard, WiFi 6, USB-C, HDMI, Windows 11S+JVQ MP",$699.00,2.6 out of 5 stars,3 ratings,Not Available
"Acer Swift 3 Intel Evo Thin & Light Laptop, 14"" Full HD, Intel Core i7-1165G7, Intel Iris Xe Graphics, 8GB LPDDR4X, 256GB NVMe SSD, Wi-Fi 6, Fingerprint Reader, Back-lit KB, SF314-59-75QC",$595.00,4.3 out of 5 stars,401 ratings,Not Available
"HP Laptop 15-dy1079ms (Core i7-1065G7) 15.6 Full HD 1920x1080 IPS touchscreen 12GB DDR4 Ram, 256GB SSD, Webcam, HDMI, Silver, Windows 10 Home",$618.88,4.5 out of 5 stars,126 ratings,Not Available
"2022 HP 15.6"" FHD Laptop Computer, 11th Gen Intel Core i5-1135G7(Beats Intel i7-1065G7), 16GB RAM, 512GB PCIe SSD, Intel Iris X Graphics, HD Webcam, HDMI, Bluetooth, Win11, Silver, 32GB USB Card",$649.00,4.3 out of 5 stars,113 ratings,Not Available
"2022 Newest HP 14 inch FHD Laptop, AMD Ryzen 3 3250U, 16GB DDR4 RAM, 512GB SSD, AMD Radeon Graphics, WiFi, USB Type-C, HDMI, Windows 11 Home, Long Battery Life, Bundle with JAWFOAL",$469.99,4.5 out of 5 stars,26 ratings,Not Available
